,P7,ingles
340,realice el pago de la cuarta cuota del plan de pago de la patente de mi vehiculo de forma virtual por medio de mi tarjeta de debito me figuro un error que habia fallado la operacion pero el debito en mi cuenta si se realizo y en atm me figura como impaga la cuotanecesito que se solucione ese problema tengo el comprobante del debito que se realizo en mi cuenta saludos,Make the payment of the fourth fee of the patent payment plan of my vehicle on a virtual way through my debit card I figure an error that had failed the operation but the debit in my account if it was done and in ATM I FIGURE As Impaga the quotanewed that is solved that problem I have the proof of the debit that was realized in my account greetings
341, ,#VALUE!
342,sugiero que atienda los telefonos  me canse de llamar para regular mi situacion y nunca me respondieron y el tramite por la web es bastante complicado deberia ser mas simple,I suggest you attend the telephones I get tired of calling to regulate my situation and never answered me and the web process is quite complicated should be simpler
343,buenos dias por favor sugiero mayor atencion en la linea de 148 ya que es imposible comunicarse para solucionar problemas de tramites que tienen fecha de vencimiento ,good morning please suggest more attention on the 148 line since it is impossible to communicate to solve processing problems that have expiration date
344,en esta encuesta el tema de calificar el tramite deberian colocar un casillero de opcion aun en resolucion ya como mi caso es mi primer solicitud y aun no he terminado con la misma gracias,"In this survey, the topic of qualifying the process should place an option shuttle even in resolution as my case is my first request and I have not finished with the same thanks"
345,que atiendan el 0800 o 148 para orientarnos que las claves fiscales se puedan recuperar colocando los datos del dni su tramite nuevo email antes hotmail problemas ahora sin problemas para recuperar gmail gracias,who attend 0800 or 148 to orient ourselves that the tax keys can be recovered by placing the data of the DNI your process new email before hotmail problems now without problems to recover Gmail thanks
346,en mi caso relaize los tramites correspondientes en el registro automotor asignado y ya ha pasado mas de un año y sigo sin recibir la patente del dominio nph 133 a mi nombre,"In my case, relapse the corresponding procedures in the assigned Automotive Registry and it has already been more than a year and I still do not receive the NPH 133 domain patent to my name"
347,agregar acceso directo a solicitudes de libres deudas,Add direct access to requests for free debts
348,he tramitado un libre deuda y no tengo respuestas ni para bien ni para mal si hubiera un error en el pedido deberian informarmelo espero esa respuesta desde hace 6 dias,I have proceeded a free debt and I have no answers or for good or bad if there was a mistake in the order should inform me I hope that answer for 6 days
349,aplicativos resulta pesimo se cuelga todo el tiempo imposible realizar el tramite,Applications It is pest
350,tema inscripcion demoran en impactar cambios y demas con vinculacion a afip,Inscription topic Delay on impact changes and others with linking to AFIP
351,responder con mayor ligereza los tramites ya que posee fecha de pagos ,Reply with greater lighting the procedures since it has a date of payments
352,todo bien con la pàgina web,all right with the web page
353,los tramites realizados a traves de mis tramites se han finalizado con mucha demora,The procedures carried out through my procedures have been completed with a lot of delay
354,la atencion a a traves de mis tramites es muy lenta,attention through my processing is very slow
355,la atencion por mis tramites es mala demoran mucho tiempo para realizar los pedidos de tramites,ATTENTION FOR MY TRAMITES IS BAD LUND TIME TO REQUEST PROCESS
356,nunca pude completar la solicitud de extension por discapacidad,I could never complete the application for disability extension
